director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Massimiliano Bruno,Marco Giallini,Alessandro Gassman,Teresa Romagnoli,Comedy,beata ignoranza,Marco Giallini Alessandro Gassman Teresa Romagnoli Massimiliano Bruno Comedy
Ben Wheatley,Sharlto Copley,Armie Hammer,Brie Larson,Action Comedy Crime Thriller,free fire,Sharlto Copley Armie Hammer Brie Larson Ben Wheatley Action Comedy Crime Thriller
Kitty Green,Hannah Cagwin,Aeona Cruz,Liv Bagley,Documentary,casting jonbenet,Hannah Cagwin Aeona Cruz Liv Bagley Kitty Green Documentary
Etienne Comar,Reda Kateb,Cécile de France,Àlex Brendemühl,Drama,django,Reda Kateb Cécile de France Àlex Brendemühl Etienne Comar Drama
Samuli Valkama,Noah Kin,Heikki Nousiainen,Mikko Nousiainen,Comedy Drama,unexpected journey,Noah Kin Heikki Nousiainen Mikko Nousiainen Samuli Valkama Comedy Drama
Oren Moverman,Richard Gere,Laura Linney,Steve Coogan,Drama Thriller,the dinner,Richard Gere Laura Linney Steve Coogan Oren Moverman Drama Thriller
Josef Hader,Josef Hader,Georg Friedrich,Crina Semciuc,Comedy Crime Drama,wild mouse,Josef Hader Georg Friedrich Crina Semciuc Josef Hader Comedy Crime Drama
Brian Vernick,Cheryl M. Bailey,Louis Ballezzi,Shawn Bittenbender,Crime Drama,the avenue,Cheryl M. Bailey Louis Ballezzi Shawn Bittenbender Brian Vernick Crime Drama
Steven C. Miller,Nicolas Cage,Christopher Rob Bowen,Adrian Grenier,Action Crime Thriller,arsenal,Nicolas Cage Christopher Rob Bowen Adrian Grenier Steven C. Miller Action Crime Thriller
Adolfo Martínez Pérez,Ariadna Gil,Roberto Álamo,Antonio Garrido,War,rescue under fire,Ariadna Gil Roberto Álamo Antonio Garrido Adolfo Martínez Pérez War
Vanessa Parise,Haley Pullos,Judd Nelson,Sasha Clements,Drama,from straight a's to xxx,Haley Pullos Judd Nelson Sasha Clements Vanessa Parise Drama
Fernando González Molina,Marta Etura ,Elvira Mínguez,Francesc Orella,Thriller,the invisible guardian,Marta Etura  Elvira Mínguez Francesc Orella Fernando González Molina Thriller
Aaron Katz,Lola Kirke,Zoë Kravitz,John Cho,Thriller,gemini,Lola Kirke Zoë Kravitz John Cho Aaron Katz Thriller
Fiona Gordon Dominique Abel,Fiona Gordon,Dominique Abel,Emmanuelle Riva,Comedy,lost in paris,Fiona Gordon Dominique Abel Emmanuelle Riva Fiona Gordon Dominique Abel Comedy
Francis Whately,Tony Visconti,Gail Ann Dorsey,Tony Basil,Music Documentary,david bowie: the last five years,Tony Visconti Gail Ann Dorsey Tony Basil Francis Whately Music Documentary
Amanda Kernell,Lene Cecilia Sparrok,Mia Sparrok,Maj-Doris Rimpi,Drama,sami blood,Lene Cecilia Sparrok Mia Sparrok Maj-Doris Rimpi Amanda Kernell Drama
Andrew Getty,Fred Koehler,Sean Patrick Flanery,Brianna Brown,Horror,the evil within,Fred Koehler Sean Patrick Flanery Brianna Brown Andrew Getty Horror
Mark Pellington,Shirley MacLaine,Amanda Seyfried,Anne Heche,Comedy Drama,the last word,Shirley MacLaine Amanda Seyfried Anne Heche Mark Pellington Comedy Drama
Dax Shepard,Michael Peña,Dax Shepard,Jessica McNamee,Action Comedy Crime,chips,Michael Peña Dax Shepard Jessica McNamee Dax Shepard Action Comedy Crime
Jeffrey Blitz,Anna Kendrick,Craig Robinson,June Squibb,Comedy Drama,table 19,Anna Kendrick Craig Robinson June Squibb Jeffrey Blitz Comedy Drama
Zach Braff,Morgan Freeman,Michael Caine,Alan Arkin,Crime Comedy Drama,going in style,Morgan Freeman Michael Caine Alan Arkin Zach Braff Crime Comedy Drama
Geoffrey Orthwein Andrew Sullivan,Maika Monroe,Matt O'Leary,Arnar Jónsson,Drama Sci-Fi Thriller,bokeh,Maika Monroe Matt O'Leary Arnar Jónsson Geoffrey Orthwein Andrew Sullivan Drama Sci-Fi Thriller
Philippe Lacheau,Philippe Lacheau,Élodie Fontan,Julien Arruti,Comedy,alibi.com,Philippe Lacheau Élodie Fontan Julien Arruti Philippe Lacheau Comedy
Gavin Wiesen,J.K. Simmons,Analeigh Tipton,Emile Hirsch,Comedy,all nighter,J.K. Simmons Analeigh Tipton Emile Hirsch Gavin Wiesen Comedy
Nicolas Bedos,Nicolas Bedos,Doria Tillier,Denis Podalydès,Romance Drama Comedy,mr & mme adelman,Nicolas Bedos Doria Tillier Denis Podalydès Nicolas Bedos Romance Drama Comedy
Sydney Freeland,Ashleigh Murray,Rachel Crow,Tim Blake Nelson,Drama Comedy Crime,deidra & laney rob a train,Ashleigh Murray Rachel Crow Tim Blake Nelson Sydney Freeland Drama Comedy Crime
Simon Amstell,Simon Amstell,Linda Bassett,Martin Freeman,Sci-Fi Comedy Documentary,carnage: swallowing the past,Simon Amstell Linda Bassett Martin Freeman Simon Amstell Sci-Fi Comedy Documentary
Tommy O'Haver,Melissa Leo,Josh Lucas,Michael Chernus,Crime Drama,the most hated woman in america,Melissa Leo Josh Lucas Michael Chernus Tommy O'Haver Crime Drama
George Mendeluk,Max Irons,Samantha Barks,Terence Stamp,War Drama History Romance,bitter harvest,Max Irons Samantha Barks Terence Stamp George Mendeluk War Drama History Romance
Johnny Martin,Nicolas Cage,Deborah Kara Unger,Anna Hutchison,Action Thriller,vengeance: a love story,Nicolas Cage Deborah Kara Unger Anna Hutchison Johnny Martin Action Thriller
Álex de la Iglesia,Mario Casas,Blanca Suárez,Carmen Machi,Horror Thriller Comedy,the bar,Mario Casas Blanca Suárez Carmen Machi Álex de la Iglesia Horror Thriller Comedy
Ned Crowley,Jim O'Heir,Andrew J. West,Josh McDermitt,Drama Comedy Crime Thriller,middle man,Jim O'Heir Andrew J. West Josh McDermitt Ned Crowley Drama Comedy Crime Thriller
Nathan Adloff,Tim Boardman,Missi Pyle,Stephen Root,Drama,miles,Tim Boardman Missi Pyle Stephen Root Nathan Adloff Drama
Kelly Asbury,Julia Roberts,Ariel Winter,Ellie Kemper,Adventure Animation Comedy Family,smurfs: the lost village,Julia Roberts Ariel Winter Ellie Kemper Kelly Asbury Adventure Animation Comedy Family
Charlie McDowell,Jason Segel,Rooney Mara,Robert Redford,Drama Romance Sci-Fi Thriller,the discovery,Jason Segel Rooney Mara Robert Redford Charlie McDowell Drama Romance Sci-Fi Thriller
Gurinder Chadha,Hugh Bonneville,Gillian Anderson,Michael Gambon,Drama History,viceroy's house,Hugh Bonneville Gillian Anderson Michael Gambon Gurinder Chadha Drama History
Alec Su,Nick Wang,Zhang Lu-Yi,Ruby Lin,Mystery Thriller,the devotion of suspect x,Nick Wang Zhang Lu-Yi Ruby Lin Alec Su Mystery Thriller
Niki Caro,Jessica Chastain,Johan Heldenbergh,Daniel Brühl,Drama History,the zookeeper's wife,Jessica Chastain Johan Heldenbergh Daniel Brühl Niki Caro Drama History
Miguel A. Ferrer,Amy Johnston,Cortney Palm,Rey Goyos,Drama Action,female fight club,Amy Johnston Cortney Palm Rey Goyos Miguel A. Ferrer Drama Action
Robert Legato,Eliza Dushku,Robert Patrick,Chace Crawford,Horror Mystery Thriller,eloise,Eliza Dushku Robert Patrick Chace Crawford Robert Legato Horror Mystery Thriller
Marc Webb,Chris Evans,Mckenna Grace,Lindsay Duncan,Drama,gifted,Chris Evans Mckenna Grace Lindsay Duncan Marc Webb Drama
Sam Liu,Stuart Allan,Jake T. Austin,Taissa Farmiga,Sci-Fi Animation Action,teen titans: the judas contract,Stuart Allan Jake T. Austin Taissa Farmiga Sam Liu Sci-Fi Animation Action
Elliott Lester,Arnold Schwarzenegger,Scoot McNairy,Maggie Grace,Drama Thriller,aftermath,Arnold Schwarzenegger Scoot McNairy Maggie Grace Elliott Lester Drama Thriller
Ole Bornedal,Nicolas Bro,Ulrich Thomsen,Mia Lyhne,Comedy Crime Drama,small town killers,Nicolas Bro Ulrich Thomsen Mia Lyhne Ole Bornedal Comedy Crime Drama
Ricardo Herrera,Andy Goldenberg,Emily Roya O'Brien,Nick Armstrong,Comedy,the bigfoot project,Andy Goldenberg Emily Roya O'Brien Nick Armstrong Ricardo Herrera Comedy
Jon Gunn,Mike Vogel,Erika Christensen,Faye Dunaway,Drama,the case for christ,Mike Vogel Erika Christensen Faye Dunaway Jon Gunn Drama
Leif Tilden,Graham Rogers,Billy Crudup,Liana Liberato,Drama Romance,1 mile to you,Graham Rogers Billy Crudup Liana Liberato Leif Tilden Drama Romance
Aaron Woodley,Jessica Biel,Hilary Swank,Susan Sarandon,Adventure Animation Comedy Family Sci-Fi,spark: a space tail,Jessica Biel Hilary Swank Susan Sarandon Aaron Woodley Adventure Animation Comedy Family Sci-Fi
Stella Meghie,Amandla Stenberg,Nick Robinson,Anika Noni Rose,Drama Romance,"everything, everything",Amandla Stenberg Nick Robinson Anika Noni Rose Stella Meghie Drama Romance
David Bowers,Jason Ian Drucker,Owen Asztalos,Charlie Wright,Comedy Family,diary of a wimpy kid: the long haul,Jason Ian Drucker Owen Asztalos Charlie Wright David Bowers Comedy Family
Alain Gomis,Véro Tshanda Beya Mputu,Gaetan Claudia,Papi Mpaka,Drama,félicité,Véro Tshanda Beya Mputu Gaetan Claudia Papi Mpaka Alain Gomis Drama
Andrey Volgin,Agniya Ditkovskite,Denis Shvedov,Anvar Khalilulaev,Action Fantasy,dance to death,Agniya Ditkovskite Denis Shvedov Anvar Khalilulaev Andrey Volgin Action Fantasy
Dmitriy Kiselev,Evgeny Mironov,Konstantin Khabenskiy,Vladimir Ilin,Adventure Drama History,the spacewalker,Evgeny Mironov Konstantin Khabenskiy Vladimir Ilin Dmitriy Kiselev Adventure Drama History
Seth Gordon,Dwayne Johnson,Zac Efron,Alexandra Daddario,Action Comedy,baywatch,Dwayne Johnson Zac Efron Alexandra Daddario Seth Gordon Action Comedy
Denise Di Novi,Rosario Dawson,Katherine Heigl,Geoff Stults,Drama Thriller,unforgettable,Rosario Dawson Katherine Heigl Geoff Stults Denise Di Novi Drama Thriller
Jonathan Levine,Amy Schumer,Goldie Hawn,Tom Bateman,Action Comedy,snatched,Amy Schumer Goldie Hawn Tom Bateman Jonathan Levine Action Comedy
Alex Kurtzman,Tom Cruise,Russell Crowe,Annabelle Wallis,Thriller Action Adventure,the mummy,Tom Cruise Russell Crowe Annabelle Wallis Alex Kurtzman Thriller Action Adventure
Alastair Orr,Sharni Vinson,Carlyn Burchell,Steve John Ward,Action Horror,from a house on willow street,Sharni Vinson Carlyn Burchell Steve John Ward Alastair Orr Action Horror
F. Gary Gray,Vin Diesel,Jason Statham,Dwayne Johnson,Action Crime Thriller,the fate of the furious,Vin Diesel Jason Statham Dwayne Johnson F. Gary Gray Action Crime Thriller
Bryce Wagoner,Ginger Lynn Allen,Lisa Ann,Janine Lindemulder,Documentary,after porn ends 2,Ginger Lynn Allen Lisa Ann Janine Lindemulder Bryce Wagoner Documentary
Gerard McMurray,Trevor Jackson,Alfre Woodard,Steve Harris,Drama,burning sands,Trevor Jackson Alfre Woodard Steve Harris Gerard McMurray Drama
Ian Truitner,Sunny Mabrey,Lance Broadway,T.J. Hoban,Sci-Fi,teleios,Sunny Mabrey Lance Broadway T.J. Hoban Ian Truitner Sci-Fi
Steven Brill,Adam Sandler,Kevin James,Terry Crews,Comedy,sandy wexler,Adam Sandler Kevin James Terry Crews Steven Brill Comedy
Phil Volken,Bethany Joy Lenz,Danny Glover,Tim Griffin,Action Adventure Crime Drama Thriller,extortion,Bethany Joy Lenz Danny Glover Tim Griffin Phil Volken Action Adventure Crime Drama Thriller
Michael O'Shea,Eric Ruffin,Chloe Levine,Aaron Moten,Horror Drama,the transfiguration,Eric Ruffin Chloe Levine Aaron Moten Michael O'Shea Horror Drama
Carson D. Mell,Steve Zissis,Mark Proksch,Jennifer Irwin,Comedy Horror,another evil,Steve Zissis Mark Proksch Jennifer Irwin Carson D. Mell Comedy Horror
Joe Swanberg,Jake Johnson,Aislinn Derbez,Joe Lo Truglio,Comedy,win it all,Jake Johnson Aislinn Derbez Joe Lo Truglio Joe Swanberg Comedy
David Soren,Kevin Hart,Ed Helms,Thomas Middleditch,Action Animation Comedy Family,captain underpants: the first epic movie,Kevin Hart Ed Helms Thomas Middleditch David Soren Action Animation Comedy Family
Carlos Bolado,Martha Higareda,Alfonso Dosal,Christian Vazquez,Family Comedy,3 idiotas,Martha Higareda Alfonso Dosal Christian Vazquez Carlos Bolado Family Comedy
Zoe Lister-Jones,Zoe Lister-Jones,Adam Pally,Fred Armisen,Comedy,band aid,Zoe Lister-Jones Adam Pally Fred Armisen Zoe Lister-Jones Comedy
Trey Edward Shults,Joel Edgerton,Christopher Abbott,Carmen Ejogo,Horror Mystery Thriller,it comes at night,Joel Edgerton Christopher Abbott Carmen Ejogo Trey Edward Shults Horror Mystery Thriller
Gabriela Cowperthwaite,Kate Mara,Ramón Rodríguez,Tom Felton,Drama War,megan leavey,Kate Mara Ramón Rodríguez Tom Felton Gabriela Cowperthwaite Drama War
Roger Michell,Rachel Weisz,Sam Claflin,Holliday Grainger,Drama Romance,my cousin rachel,Rachel Weisz Sam Claflin Holliday Grainger Roger Michell Drama Romance
Doug Archibald,Artemis Pebdani,Sasha Mitchell,Angela Trimbur,Comedy,i love you both,Artemis Pebdani Sasha Mitchell Angela Trimbur Doug Archibald Comedy
Ari Issler Ben Snyder,Victor Almanzar,Shirley Rumierk,Elizabeth Rodriguez,Drama Crime,11:55,Victor Almanzar Shirley Rumierk Elizabeth Rodriguez Ari Issler Ben Snyder Drama Crime
Brian Fee,Owen Wilson,Cristela Alonzo,Chris Cooper,Family Comedy Animation Adventure,cars 3,Owen Wilson Cristela Alonzo Chris Cooper Brian Fee Family Comedy Animation Adventure
Aisling Walsh,Sally Hawkins,Ethan Hawke,Gabrielle Rose,Drama History Romance,maudie,Sally Hawkins Ethan Hawke Gabrielle Rose Aisling Walsh Drama History Romance
Takanori Tsujimoto,Kevin Dorman,Matthew Mercer,Erin Cahill,Action Adventure Animation Horror Mystery Sci-Fi,resident evil: vendetta,Kevin Dorman Matthew Mercer Erin Cahill Takanori Tsujimoto Action Adventure Animation Horror Mystery Sci-Fi
Fred Wolf,Leah Remini,Charlotte McKinney,Charlie Sheen,Comedy,mad families,Leah Remini Charlotte McKinney Charlie Sheen Fred Wolf Comedy
Luc Bondy,Isabelle Huppert,Louis Garrel,Bulle Ogier,Drama Comedy,false confessions,Isabelle Huppert Louis Garrel Bulle Ogier Luc Bondy Drama Comedy
James Nunn,Mike Mizanin,Anna Van Hooft,Maryse Ouellet Mizanin,Action,the marine 5: battleground,Mike Mizanin Anna Van Hooft Maryse Ouellet Mizanin James Nunn Action
Robert Conway,Monica Engesser,Clint James,Maria Olsen,Horror,the covenant,Monica Engesser Clint James Maria Olsen Robert Conway Horror
Savage Steve Holland,Jace Norman,Davis Cleveland,Haley Tju,Family Fantasy Comedy,rufus 2,Jace Norman Davis Cleveland Haley Tju Savage Steve Holland Family Fantasy Comedy
Colin Trevorrow,Naomi Watts,Jaeden Lieberher,Jacob Tremblay,Thriller Drama Crime,the book of henry,Naomi Watts Jaeden Lieberher Jacob Tremblay Colin Trevorrow Thriller Drama Crime
Brett Haley,Sam Elliott,Laura Prepon,Nick Offerman,Drama,the hero,Sam Elliott Laura Prepon Nick Offerman Brett Haley Drama
Matt Tyrnauer,Thomas Campanella,Mindy Fullilove,Alexander Garvin,Documentary,citizen jane: battle for the city,Thomas Campanella Mindy Fullilove Alexander Garvin Matt Tyrnauer Documentary
Doug Liman,Aaron Taylor-Johnson,John Cena,Laith Nakli,Drama Thriller War,the wall,Aaron Taylor-Johnson John Cena Laith Nakli Doug Liman Drama Thriller War
Salamat Mukhammed-Ali,Armand Assante,Karlygash Mukhamedzhanova,Alexey Frandetti,Action,diamond cartel,Armand Assante Karlygash Mukhamedzhanova Alexey Frandetti Salamat Mukhammed-Ali Action
Justin Barber,Florence Hartigan,Jeanine Jackson,Chelsea Lopez,Horror Mystery Sci-Fi,phoenix forgotten,Florence Hartigan Jeanine Jackson Chelsea Lopez Justin Barber Horror Mystery Sci-Fi
Eduardo Casanova,Jon Kortajarena,Candela Peña,Ana Polvorosa,Drama Comedy,skins,Jon Kortajarena Candela Peña Ana Polvorosa Eduardo Casanova Drama Comedy
George C. Wolfe,Rose Byrne,Renée Elise Goldsberry,Oprah Winfrey,Drama,the immortal life of henrietta lacks,Rose Byrne Renée Elise Goldsberry Oprah Winfrey George C. Wolfe Drama
Jason Connery,Peter Mullan,Jack Lowden,Ophelia Lovibond,Drama Romance,tommy's honour,Peter Mullan Jack Lowden Ophelia Lovibond Jason Connery Drama Romance
John Butler,Nicholas Galitzine,Fionn O'Shea,Moe Dunford,Drama,handsome devil,Nicholas Galitzine Fionn O'Shea Moe Dunford John Butler Drama
Ricardo de Montreuil,Demián Bichir,Gabriel Chavarria,Theo Rossi,Drama,lowriders,Demián Bichir Gabriel Chavarria Theo Rossi Ricardo de Montreuil Drama
Stefan Ruzowitzky,Violetta Schurawlow,Tobias Moretti,Robert Palfrader,Thriller,cold hell,Violetta Schurawlow Tobias Moretti Robert Palfrader Stefan Ruzowitzky Thriller
Vincent J. Guastini Michael McQuown,Cortney Palm,David Hull,Emilia Zoryan,Horror Sci-Fi Thriller,the dark tapes,Cortney Palm David Hull Emilia Zoryan Vincent J. Guastini Michael McQuown Horror Sci-Fi Thriller
Liam O'Donnell,Frank Grillo,Bojana Novaković,Iko Uwais,Action Sci-Fi,beyond skyline,Frank Grillo Bojana Novaković Iko Uwais Liam O'Donnell Action Sci-Fi
Gregori Viens,Henry Phillips,J.K. Simmons,Sarah Silverman,Comedy,punching henry,Henry Phillips J.K. Simmons Sarah Silverman Gregori Viens Comedy
Ken Marino,Eugenio Derbez,Salma Hayek,Rob Lowe,Comedy,how to be a latin lover,Eugenio Derbez Salma Hayek Rob Lowe Ken Marino Comedy
Michael Winterbottom,Steve Coogan,Rob Brydon,Claire Keelan,Drama Comedy,the trip to spain,Steve Coogan Rob Brydon Claire Keelan Michael Winterbottom Drama Comedy
Dave McCary,Kyle Mooney,Claire Danes,Mark Hamill,Comedy Drama,brigsby bear,Kyle Mooney Claire Danes Mark Hamill Dave McCary Comedy Drama
Derik Murray Adrian Buitenhuis,Heath Ledger,Kate Ledger,Kim Ledger,Documentary,i am heath ledger,Heath Ledger Kate Ledger Kim Ledger Derik Murray Adrian Buitenhuis Documentary
Fernando Coimbra,Nicholas Hoult,Logan Marshall-Green,Henry Cavill,Drama War,sand castle,Nicholas Hoult Logan Marshall-Green Henry Cavill Fernando Coimbra Drama War
Robert Dyke,Sarah Butler,Damon Dayoub,Charles Shaughnessy,Action Sci-Fi Adventure,moontrap: target earth,Sarah Butler Damon Dayoub Charles Shaughnessy Robert Dyke Action Sci-Fi Adventure
Roman Karimov,Efim Petrunin,Lyubov Aksyonova,Sofya Rayzman,Comedy,"have fun, vasya!",Efim Petrunin Lyubov Aksyonova Sofya Rayzman Roman Karimov Comedy
Park Kwang-hyun,Ji Chang-wook,Shim Eun-kyung,Ahn Jae-hong,Action,fabricated city,Ji Chang-wook Shim Eun-kyung Ahn Jae-hong Park Kwang-hyun Action
Michael Apted,Noomi Rapace,Orlando Bloom,Michael Douglas,Action Thriller,unlocked,Noomi Rapace Orlando Bloom Michael Douglas Michael Apted Action Thriller
Eric D. Howell,Emilia Clarke,Marton Csokas,Caterina Murino,Drama Mystery Romance Thriller,voice from the stone,Emilia Clarke Marton Csokas Caterina Murino Eric D. Howell Drama Mystery Romance Thriller
E.L. Katz,Nikolaj Coster-Waldau,Jacki Weaver,Robert Forster,Drama Comedy Thriller Crime,small crimes,Nikolaj Coster-Waldau Jacki Weaver Robert Forster E.L. Katz Drama Comedy Thriller Crime
Murat Kepez,Çaglar Çorumlu,Büşra Pekin,Mahir Ipek,Comedy,kolonya cumhuriyeti,Çaglar Çorumlu Büşra Pekin Mahir Ipek Murat Kepez Comedy
Mark Lamprell,Dacre Montgomery,Xavier Samuel,Kris Marshall,Comedy,a few less men,Dacre Montgomery Xavier Samuel Kris Marshall Mark Lamprell Comedy
Richard Sears,Jena Malone,Douglas Smith,Ted Levine,Drama Mystery Thriller,bottom of the world,Jena Malone Douglas Smith Ted Levine Richard Sears Drama Mystery Thriller
Simon West,Dominic Cooper,Gemma Chan,Connie Nielsen,Action Thriller,stratton,Dominic Cooper Gemma Chan Connie Nielsen Simon West Action Thriller
Azazel Jacobs,Debra Winger,Tracy Letts,Aidan Gillen,Comedy,the lovers,Debra Winger Tracy Letts Aidan Gillen Azazel Jacobs Comedy
S.S. Rajamouli,Prabhas,Rana Daggubati,Sathyaraj,Action Adventure History War,baahubali 2: the conclusion,Prabhas Rana Daggubati Sathyaraj S.S. Rajamouli Action Adventure History War
Juanita Wilson,Julia Garner,Jake Weary,Anna Friel,Drama Thriller,tomato red,Julia Garner Jake Weary Anna Friel Juanita Wilson Drama Thriller
Grant Humphreys,Ronan Quarmby,Brad Richards,Barbara Harrison,Sci-Fi,taking earth,Ronan Quarmby Brad Richards Barbara Harrison Grant Humphreys Sci-Fi
Maccio Capatonda,Maccio Capatonda,Maccio Capatonda,Maccio Capatonda,Comedy,omicidio all'italiana,Maccio Capatonda Maccio Capatonda Maccio Capatonda Maccio Capatonda Comedy
Joseph Cedar,Richard Gere,Lior Ashkenazi,Michael Sheen,Comedy Thriller Drama,norman: the moderate rise and tragic fall of a new york fixer,Richard Gere Lior Ashkenazi Michael Sheen Joseph Cedar Comedy Thriller Drama
Jamie Cymbal Ryan Simons,Jimmy Allen,Lindsay Bennett,Chris Blackwood,Horror,seizure,Jimmy Allen Lindsay Bennett Chris Blackwood Jamie Cymbal Ryan Simons Horror
Franck Khalfoun,Bella Thorne,Cameron Monaghan,Jennifer Morrison,Thriller Horror,amityville: the awakening,Bella Thorne Cameron Monaghan Jennifer Morrison Franck Khalfoun Thriller Horror
Sofia Coppola,Colin Farrell,Nicole Kidman,Kirsten Dunst,Drama Western,the beguiled,Colin Farrell Nicole Kidman Kirsten Dunst Sofia Coppola Drama Western
Sierra Pettengill Pacho Velez,Ronald Reagan,Nancy Reagan,Barbara Walters,Documentary,the reagan show,Ronald Reagan Nancy Reagan Barbara Walters Sierra Pettengill Pacho Velez Documentary
Edgar Wright,Ansel Elgort,Lily James,Kevin Spacey,Action Crime,baby driver,Ansel Elgort Lily James Kevin Spacey Edgar Wright Action Crime
Bong Joon-ho,Tilda Swinton,Paul Dano,Ahn Seo-hyun ,Adventure Drama Fantasy Sci-Fi,okja,Tilda Swinton Paul Dano Ahn Seo-hyun  Bong Joon-ho Adventure Drama Fantasy Sci-Fi
Jay Woelfel,Tim Thomerson,Richard Hatch,Tiffany Shepis,Horror,asylum of darkness,Tim Thomerson Richard Hatch Tiffany Shepis Jay Woelfel Horror
Lucia Aniello,Scarlett Johansson,Jillian Bell,Kate McKinnon,Drama Comedy,rough night,Scarlett Johansson Jillian Bell Kate McKinnon Lucia Aniello Drama Comedy
Sean Foley,Julian Barratt,Simon Farnaby,Essie Davis,Comedy,mindhorn,Julian Barratt Simon Farnaby Essie Davis Sean Foley Comedy
Kevin Macdonald,Richard Madden,Flora Spencer-Longhurst,Moshidi Motshegwa,TV Movie Drama Sci-Fi,oasis,Richard Madden Flora Spencer-Longhurst Moshidi Motshegwa Kevin Macdonald TV Movie Drama Sci-Fi
Vlad Yudin,Calum Von Moger,Kai Greene,Rich Piana,Documentary,generation iron 2,Calum Von Moger Kai Greene Rich Piana Vlad Yudin Documentary
Amariah Olson Obin Olson,Jonathan Rhys Meyers,Cam Gigandet,Michael Biehn,Sci-Fi Action Thriller,the shadow effect,Jonathan Rhys Meyers Cam Gigandet Michael Biehn Amariah Olson Obin Olson Sci-Fi Action Thriller
Deven Bhojani,Vidyut Jamwal,Adah Sharma,Freddy Daruwala,Action,commando 2: the black money trail,Vidyut Jamwal Adah Sharma Freddy Daruwala Deven Bhojani Action
Avgousta Zourelidi,Katy Townsend,Debi Derryberry,Cassandra Morris,Family Animation,monster high: electrified,Katy Townsend Debi Derryberry Cassandra Morris Avgousta Zourelidi Family Animation
Geremy Jasper,Danielle Macdonald,Bridget Everett,Siddharth Dhananjay,Drama,patti cake$,Danielle Macdonald Bridget Everett Siddharth Dhananjay Geremy Jasper Drama
Andrey Zvyagintsev,Maryana Spivak,Aleksey Rozin,Matvey Novikov,Drama,loveless,Maryana Spivak Aleksey Rozin Matvey Novikov Andrey Zvyagintsev Drama
Mel Damski,Lacey Chabert,Carlo Marks,Jesse Moss,Romance TV Movie,moonlight in vermont,Lacey Chabert Carlo Marks Jesse Moss Mel Damski Romance TV Movie
Jeff Garlin,Jeff Garlin,Natasha Lyonne,Chris Redd,Comedy,handsome: a netflix mystery movie,Jeff Garlin Natasha Lyonne Chris Redd Jeff Garlin Comedy
Don Argott Sheena M. Joyce,Michael Uslan,Roy Thomas,Marc Tyler Nobleman,Documentary,batman & bill,Michael Uslan Roy Thomas Marc Tyler Nobleman Don Argott Sheena M. Joyce Documentary
Ivan Silvestrini,Katrina Bowden,Jay Hayden,Damon Dayoub,Drama Thriller,monolith,Katrina Bowden Jay Hayden Damon Dayoub Ivan Silvestrini Drama Thriller
Tony E. Valenzuela,Robert Adamson,Alex Frnka,Conchata Ferrell,Horror,the axe murders of villisca,Robert Adamson Alex Frnka Conchata Ferrell Tony E. Valenzuela Horror
Brian Crano,Rebecca Hall,Jason Sudeikis,Dan Stevens,Comedy Romance,permission,Rebecca Hall Jason Sudeikis Dan Stevens Brian Crano Comedy Romance
Arnaud Desplechin,Mathieu Amalric,Marion Cotillard,Charlotte Gainsbourg,Drama Romance Thriller,ismael's ghosts,Mathieu Amalric Marion Cotillard Charlotte Gainsbourg Arnaud Desplechin Drama Romance Thriller
